,id,budget,homepage,original_language,popularity,popularity_cat,release_date,year,month,runtime,revenue,best_seller,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,TV Movie,War,Western,lang_cnt,performance_lead_actor,female_actor_count,male_actor_count,unkown_gender_actor_count,country_cnt,cnt_crew
23,24,0,1,en,1.3233330249786377,Low,9/2/11,2011,9,92.0,17011.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,10.0
24,25,0,1,en,7.434576988220215,High,9/9/06,2006,9,87.0,4947717.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,1.0,10.0
25,26,0,0,en,1.2523670196533203,Low,10/23/92,1992,10,95.0,8403433.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,0.0,2.0,14.0
26,27,10000000,0,en,4.305735111236572,Medium,9/8/97,1997,9,110.0,13835130.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,0.0,5.0,0.0,1.0,18.0
27,28,11000000,0,en,10.841891288757324,Superb,9/7/13,2013,9,93.0,7847000.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,3.0,9.0,0.0,2.0,15.0
28,29,6000000,0,en,6.759181022644043,High,8/8/86,1986,8,84.0,5849647.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,13.0,0.0,1.0,18.0
29,30,45000000,0,en,7.818620204925537,High,4/7/02,2002,4,89.0,94935764.0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,3.0,5.0,0.0,1.0,8.0
30,31,13000000,0,fr,16.0869197845459,Superb,11/2/11,2011,11,112.0,426480871.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,12.0,0.0,1.0,34.0
31,32,0,1,fr,5.695859909057617,Medium,5/2/05,2005,5,117.0,36000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,10.0,0.0,5.0,18.0
32,33,90000000,1,en,13.412445068359375,Superb,10/21/15,2015,10,106.0,146936910.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,4.0,10.0,0.0,1.0,92.0
33,34,0,0,en,8.25485610961914,High,10/2/14,2014,10,125.0,7171.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,12.0,1.0,5.0,59.0
34,35,140000000,0,en,9.718111038208008,Superb,8/8/07,2007,8,91.0,258022233.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,9.0,0.0,1.0,18.0
35,36,30000000,1,en,8.234381675720215,High,4/16/12,2012,4,94.0,40346186.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,17.0,2.0,8.0,0.0,1.0,34.0
36,37,0,0,en,2.100498914718628,Low,1/28/00,2000,1,105.0,151559.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,9.0,0.0,3.0,2.0
37,38,50000000,0,en,13.676444053649902,Superb,3/10/95,1995,3,127.0,189859560.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,14.0,2.0,8.0,0.0,1.0,13.0
38,39,0,1,en,0.329259991645813,Low,9/13/13,2013,9,90.0,92100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,0.0,,2.0
39,40,3800000,0,en,3.055936098098755,Medium,4/7/65,1965,4,123.0,14873.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,10.0,2.0,10.0,0.0,1.0,12.0
40,41,0,1,en,2.9416260719299316,Low,4/26/06,2006,4,118.0,163000.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,5.0,0.0,1.0,1.0
41,42,3000000,0,en,9.71871280670166,Superb,6/22/67,1967,6,126.0,16217773.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,6.0,7.0,0.0,1.0,28.0
42,43,25000000,0,en,2.971998929977417,Low,3/3/00,2000,3,108.0,24362772.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,7.0,0.0,1.0,12.0
43,44,6000000,0,en,9.383088111877441,Superb,9/5/14,2014,9,92.0,1020921.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,5.0,12.0,0.0,1.0,12.0
44,45,15000000,1,en,5.615303039550781,Medium,2/4/05,2005,2,88.0,47175038.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,1.0,12.0
45,46,3906840,0,it,2.382067918777466,Low,10/9/09,2009,10,95.0,4300000.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,8.0,0.0,1.0,7.0
46,47,80000000,1,en,16.646028518676758,Superb,3/23/06,2006,3,91.0,660940780.0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,16.0,0.0,1.0,10.0
47,48,44000000,1,en,20.328821182250977,Superb,12/25/15,2015,12,167.0,155760117.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,17.0,2.0,5.0,0.0,1.0,77.0
48,49,0,0,en,8.984386444091797,High,3/24/17,2017,3,94.0,653951.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,22.0,1.0,1.0,31.0
49,50,38000000,0,en,8.105708122253418,High,11/17/94,1994,11,118.0,120000000.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,2.0,8.0,0.0,1.0,15.0
50,51,560000,1,nl,1.5729039907455444,Low,1/30/08,2008,1,102.0,1500000.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,2.0
51,52,12000000,0,en,4.473327159881592,Medium,7/1/65,1965,7,160.0,25333333.0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.0,8.0,0.0,1.0,6.0
52,53,0,0,en,1.012665033340454,Low,6/24/80,1980,6,97.0,11000000.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,6.0,0.0,1.0,7.0
53,54,0,1,en,5.410839080810547,Medium,1/15/88,1988,1,98.0,17514553.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,6.0,0.0,1.0,4.0
54,55,20000000,0,en,8.759800910949707,High,2/19/16,2016,2,107.0,46069568.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,4.0,15.0,0.0,1.0,21.0
55,56,0,0,en,9.12271785736084,Superb,7/2/93,1993,7,95.0,36448200.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,7.0,0.0,1.0,3.0
56,57,0,1,fr,2.9479799270629883,Low,8/5/09,2009,8,97.0,1056938.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,0.0,2.0,3.0
57,58,125000000,0,en,17.0388240814209,Superb,6/20/97,1997,6,125.0,238207122.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,5.0,0.0,2.0,105.0
58,59,0,1,en,1.882446050643921,Low,6/24/08,2008,6,95.0,119563.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0
59,60,14000000,0,en,3.909079074859619,Medium,3/8/02,2002,3,95.0,25482931.0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,1.0,6.0,0.0,1.0,1.0
60,61,150000000,1,en,23.065078735351562,Superb,11/14/06,2006,11,144.0,599045960.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,11.0,7.0,22.0,0.0,5.0,126.0
61,62,4000000,0,en,1.801071047782898,Low,5/30/56,1956,5,105.0,14400000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2.0,9.0,0.0,1.0,9.0
62,63,0,0,en,6.3816118240356445,High,1/16/98,1998,1,124.0,25232289.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.0,1.0,7.0,0.0,1.0,48.0
63,64,5000000,0,en,7.7431440353393555,High,7/28/89,1989,7,100.0,14000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,7.0,0.0,1.0,7.0
64,65,12000000,0,en,11.160698890686035,Superb,9/21/13,2013,9,115.0,17654912.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,6.0,0.0,1.0,69.0
65,66,1500000,0,en,8.82227611541748,High,2/26/88,1988,2,92.0,11806119.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,3.0,3.0,0.0,1.0,12.0
66,67,12000000,0,en,5.1451849937438965,Medium,1/14/10,2010,1,108.0,204940.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,4.0,8.0,0.0,1.0,12.0
67,68,0,0,zh,6.303552150726318,High,10/4/13,2013,10,133.0,154120.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,3.0,5.0
68,69,2000000,0,en,14.28478717803955,Superb,12/25/62,1962,12,129.0,13129846.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,11.0,18.0,0.0,1.0,34.0
69,70,85000000,1,en,2.2388079166412354,Low,6/3/06,2006,6,104.0,158468292.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,9.0,17.0,1.0,2.0,57.0
70,71,29000000,0,en,12.092096328735352,Superb,3/4/05,2005,3,103.0,21126225.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,9.0,0.0,2.0,20.0
71,72,0,1,es,7.6674909591674805,High,2/6/04,2004,2,126.0,16756372.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,5.0,0.0,8.0,11.0
72,73,11000000,0,en,8.290384292602539,High,4/5/90,1990,4,85.0,8266343.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,4.0,6.0,0.0,1.0,7.0
73,74,0,1,cs,0.9195560216903687,Low,3/30/04,2004,3,90.0,17393.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,5.0
74,75,445000,0,en,2.4825360774993896,Low,3/31/76,1976,3,84.0,2300000.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,1.0,12.0
75,76,17000000,1,en,9.665250778198242,Superb,8/18/11,2011,8,106.0,24922237.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,0.0,2.0,10.0
76,77,500000,0,ta,0.6606630086898804,Low,5/5/00,2000,5,157.0,500000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,2.0,5.0,0.0,1.0,7.0
77,78,6000000,0,en,10.451986312866211,Superb,7/25/80,1980,7,98.0,39846344.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,10.0,19.0,0.0,1.0,9.0
78,79,0,0,en,2.63339900970459,Low,12/18/81,1981,12,122.0,35610100.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,2.0,7.0,0.0,1.0,13.0
79,80,1500000,1,en,6.636624813079834,High,9/15/16,2016,9,102.0,779820.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,8.0,11.0,0.0,2.0,80.0
80,81,15000000,0,en,4.984079837799072,Medium,12/14/02,2002,12,118.0,9237470.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,4.0,5.0,0.0,3.0,22.0
81,82,10284523,0,en,4.349046230316162,Medium,10/21/05,2005,10,104.0,11588205.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,2.0,5.0,0.0,1.0,12.0
82,83,43000000,0,en,10.947957038879395,Superb,7/29/05,2005,7,104.0,91974818.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,4.0,5.0,0.0,2.0,99.0
83,84,28000000,0,en,7.482864856719971,High,12/6/84,1984,12,116.0,40400657.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,6.0,6.0,0.0,1.0,32.0
84,85,2000000,0,en,10.239940643310547,Superb,1/21/11,2011,1,85.0,13101672.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,2.0,7.0
85,86,50000000,0,en,7.260573863983154,High,6/9/95,1995,6,109.0,152022101.0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,0.0,1.0,9.0
86,87,8000000,0,en,9.741643905639648,Superb,12/18/79,1979,12,105.0,106260000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,4.0,7.0,0.0,1.0,33.0
87,88,7500000,0,cn,12.314277648925781,Superb,1/30/95,1995,1,91.0,32392047.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,19.0,1.0,7.0,0.0,1.0,4.0
